npc_type,n_states,mean_tree_plausibility,mean_random_plausibility,advantage
enemy,960,0.7999999999999957,0.375625000000003,0.42437499999999273
friendly,960,1.0,0.4083333333333387,0.5916666666666612
neutral,960,1.0,0.31062500000000204,0.689374999999998
merchant,960,1.0,0.322083333333329,0.677916666666671
boss,960,1.0,0.39020833333333604,0.609791666666664
