algo,grid,n_rooms,seed,time_s,nodes_explored,backtracks,succeeded,error,rooms_built,connected,has_key,solvable,start_boss_dist,branching,dead_end_ratio,n_start,n_normal,n_treasure,n_boss,n_trap,n_merchant
BFS,5,6,12,3.8200999938453606e-05,2,0,1,,6,1,1,1,2,1.6666666666666667,0.6666666666666666,1,2,2,1,0,0
BFS,5,6,13,4.7467999934269756e-05,2,0,1,,6,1,0,0,2,1.6666666666666667,0.6666666666666666,1,4,0,1,0,0
BFS,5,6,14,4.265900008704193e-05,2,0,1,,6,1,0,0,2,1.6666666666666667,0.6666666666666666,1,4,0,1,0,0
BFS,5,6,15,4.320000005009206e-05,2,0,1,,6,1,0,0,2,1.6666666666666667,0.6666666666666666,1,4,0,1,0,0
BFS,5,6,16,4.827999998724408e-05,2,0,1,,6,1,1,1,2,1.6666666666666667,0.6666666666666666,1,2,1,1,1,0
BFS,5,6,17,4.707699997652526e-05,2,0,1,,6,1,0,0,2,1.6666666666666667,0.6666666666666666,1,3,0,1,0,1
BFS,5,6,18,4.057599994666816e-05,2,0,1,,6,1,1,1,2,1.6666666666666667,0.6666666666666666,1,2,1,1,1,0
BFS,5,6,19,4.461300000002666e-05,2,0,1,,6,1,1,1,2,1.6666666666666667,0.6666666666666666,1,1,2,1,0,1
BFS,5,6,20,5.014299995309557e-05,2,0,1,,6,1,1,1,2,1.6666666666666667,0.6666666666666666,1,2,2,1,0,0
BFS,5,6,21,4.2940000071212125e-05,2,0,1,,6,1,0,0,2,1.6666666666666667,0.6666666666666666,1,2,0,1,2,0
BFS,5,6,22,4.2488999952183804e-05,2,0,1,,6,1,1,1,2,1.6666666666666667,0.6666666666666666,1,2,1,1,1,0
BFS,5,6,23,4.1426999928262376e-05,2,0,1,,6,1,1,1,2,1.6666666666666667,0.6666666666666666,1,1,2,1,0,1
BFS,5,6,24,4.479300002913078e-05,2,0,1,,6,1,0,0,2,1.6666666666666667,0.6666666666666666,1,4,0,1,0,0
BFS,5,6,25,4.206799997064081e-05,2,0,1,,6,1,0,0,2,1.6666666666666667,0.6666666666666666,1,3,0,1,1,0
BFS,5,6,26,4.362099991794821e-05,2,0,1,,6,1,1,1,2,1.6666666666666667,0.6666666666666666,1,2,1,1,0,1
BFS,5,6,27,4.4914000000062515e-05,2,0,1,,6,1,0,0,2,1.6666666666666667,0.6666666666666666,1,4,0,1,0,0
BFS,5,6,28,4.15980000525451e-05,2,0,1,,6,1,0,0,2,1.6666666666666667,0.6666666666666666,1,3,0,1,0,1
BFS,5,6,29,4.3830999970850826e-05,2,0,1,,6,1,1,1,2,1.6666666666666667,0.6666666666666666,1,1,2,1,0,1
DFS,5,6,0,7.425899991631013e-05,5,0,1,,6,1,0,0,5,1.6666666666666667,0.3333333333333333,1,2,0,1,1,1
DFS,5,6,1,6.15440000046874e-05,5,0,1,,6,1,0,0,5,1.6666666666666667,0.3333333333333333,1,3,0,1,1,0
DFS,5,6,2,5.370999997467152e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,2,1,1,0,1
DFS,5,6,3,5.562299998018716e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,2,2,1,0,0
DFS,5,6,4,7.771399998546258e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,3,1,1,0,0
DFS,5,6,5,5.3349000040725514e-05,5,0,1,,6,1,0,0,5,1.6666666666666667,0.3333333333333333,1,1,0,1,1,2
DFS,5,6,6,5.279799995605572e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,1,1,1,1,1
DFS,5,6,7,6.609299998672213e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,2,2,1,0,0
DFS,5,6,8,6.016199995428906e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,2,1,1,1,0
DFS,5,6,9,5.827899997257191e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,2,2,1,0,0
DFS,5,6,10,5.397999996148428e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,3,1,1,0,0
DFS,5,6,11,5.0715000043055625e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,2,1,1,1,0
DFS,5,6,12,4.9371000045539404e-05,5,0,1,,6,1,0,0,5,1.6666666666666667,0.3333333333333333,1,3,0,1,1,0
DFS,5,6,13,5.278899993754749e-05,5,0,1,,6,1,0,0,5,1.6666666666666667,0.3333333333333333,1,4,0,1,0,0
DFS,5,6,14,5.0805000000764267e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,1,2,1,1,0
DFS,5,6,15,6.121400008396449e-05,5,0,1,,6,1,0,0,5,1.6666666666666667,0.3333333333333333,1,3,0,1,1,0
DFS,5,6,16,5.5172999964270275e-05,5,0,1,,6,1,0,0,5,1.6666666666666667,0.3333333333333333,1,4,0,1,0,0
DFS,5,6,17,5.496199992194306e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,3,1,1,0,0
DFS,5,6,18,5.1717000019380066e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,2,1,1,1,0
DFS,5,6,19,6.352799994147063e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,1,1,1,0,2
DFS,5,6,20,6.476999999449617e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,1,2,1,1,0
DFS,5,6,21,5.697599999621161e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,2,1,1,0,1
DFS,5,6,22,5.6074999974953244e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,2,1,1,1,0
DFS,5,6,23,6.264600006034016e-05,5,0,1,,6,1,0,0,5,1.6666666666666667,0.3333333333333333,1,4,0,1,0,0
DFS,5,6,24,6.0813999994024925e-05,5,0,1,,6,1,0,0,5,1.6666666666666667,0.3333333333333333,1,4,0,1,0,0
DFS,5,6,25,5.052400001659407e-05,5,0,1,,6,1,0,0,5,1.6666666666666667,0.3333333333333333,1,3,0,1,0,1
DFS,5,6,26,5.390000001170847e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,3,1,1,0,0
DFS,5,6,27,5.4601999977421656e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,3,1,1,0,0
DFS,5,6,28,5.7908000030693074e-05,5,0,1,,6,1,0,0,5,1.6666666666666667,0.3333333333333333,1,2,0,1,1,1
DFS,5,6,29,5.2847999995719874e-05,5,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,3,1,1,0,0
Greedy,5,6,0,0.00015434699992056267,30,0,1,,6,1,0,0,2,1.6666666666666667,0.5,1,3,0,1,0,1
Greedy,5,6,1,0.0001317749999998341,32,0,1,,6,1,1,1,4,1.6666666666666667,0.5,1,1,2,1,1,0
Greedy,5,6,2,0.00013200500006860238,31,0,1,,6,1,0,0,3,1.6666666666666667,0.5,1,2,0,1,0,2
Greedy,5,6,3,0.00013702399996873282,32,0,1,,6,1,1,1,2,1.6666666666666667,0.5,1,2,1,1,0,1
Greedy,5,6,4,0.00013448000004245841,32,0,1,,6,1,1,1,4,1.6666666666666667,0.5,1,2,2,1,0,0
Greedy,5,6,5,0.0001664889999801744,32,0,1,,6,1,1,1,3,2.0,0.16666666666666666,1,1,1,1,1,1
Greedy,5,6,6,0.00013227600004483975,30,0,1,,6,1,0,0,2,1.6666666666666667,0.5,1,3,0,1,1,0
Greedy,5,6,7,0.00014053200004582322,34,0,1,,6,1,1,1,4,1.6666666666666667,0.5,1,2,1,1,0,1
Greedy,5,6,8,0.00013263699997878575,31,0,1,,6,1,1,1,4,1.6666666666666667,0.5,1,1,3,1,0,0
Greedy,5,6,9,0.00019059400005971838,34,0,1,,6,1,1,1,4,1.6666666666666667,0.5,1,3,1,1,0,0
Greedy,5,6,10,0.00015513899995767133,32,0,1,,6,1,1,1,4,1.6666666666666667,0.5,1,2,1,1,1,0
Greedy,5,6,11,0.00013461000003189838,31,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,1,1,1,1,1
Greedy,5,6,12,0.00013800700003230304,33,0,1,,6,1,0,0,4,1.6666666666666667,0.3333333333333333,1,4,0,1,0,0
Greedy,5,6,13,0.0001329670000131955,30,0,1,,6,1,0,0,2,1.6666666666666667,0.5,1,4,0,1,0,0
Greedy,5,6,14,0.00013682500002687448,31,0,1,,6,1,1,1,3,1.6666666666666667,0.5,1,2,1,1,0,1
Greedy,5,6,15,0.00013422899996839988,32,0,1,,6,1,1,1,4,1.6666666666666667,0.5,1,1,3,1,0,0
Greedy,5,6,16,0.0001403510000272945,32,0,1,,6,1,1,1,2,1.6666666666666667,0.5,1,2,1,1,1,0
Greedy,5,6,17,0.00013355900000533438,31,0,1,,6,1,0,0,5,1.6666666666666667,0.3333333333333333,1,2,0,1,0,2
Greedy,5,6,18,0.00012424099998042948,30,0,1,,6,1,1,1,2,1.6666666666666667,0.5,1,2,1,1,1,0
Greedy,5,6,19,0.00012783800002580392,31,0,1,,6,1,1,1,3,1.6666666666666667,0.5,1,2,2,1,0,0
Greedy,5,6,20,0.0001534749999336782,31,0,1,,6,1,1,1,5,1.6666666666666667,0.3333333333333333,1,2,2,1,0,0
Greedy,5,6,21,0.00013588299998446018,32,0,1,,6,1,1,1,2,1.6666666666666667,0.5,1,3,1,1,0,0
Greedy,5,6,22,0.00017638899998928537,30,0,1,,6,1,0,0,1,1.6666666666666667,0.3333333333333333,1,4,0,1,0,0
Greedy,5,6,23,0.00014895699996486655,30,0,1,,6,1,1,1,2,1.6666666666666667,0.5,1,2,1,1,1,0
Greedy,5,6,24,0.00013165500001832697,31,0,1,,6,1,0,0,3,1.6666666666666667,0.5,1,3,0,1,1,0
Greedy,5,6,25,0.00013865799996892747,32,0,1,,6,1,0,0,2,1.6666666666666667,0.5,1,3,0,1,0,1
Greedy,5,6,26,0.00013491100003193424,32,0,1,,6,1,1,1,4,2.0,0.16666666666666666,1,3,1,1,0,0
Greedy,5,6,27,0.00014645200008089887,31,0,1,,6,1,1,1,3,1.6666666666666667,0.5,1,3,1,1,0,0
Greedy,5,6,28,0.00013734499998463434,32,0,1,,6,1,0,0,4,1.6666666666666667,0.5,1,4,0,1,0,0
Greedy,5,6,29,0.00020139399998697627,30,0,1,,6,1,1,1,2,1.6666666666666667,0.5,1,1,1,1,0,2
CSP,5,10,0,0.00038073799998983304,11,0,1,,10,1,1,1,3,2.6,0.1,1,5,1,1,2,0
CSP,5,10,1,0.00035069199998361,11,0,1,,10,1,1,1,2,2.6,0.1,1,3,2,1,2,1
CSP,5,10,2,0.00035713400006898155,11,0,1,,10,1,1,1,3,2.6,0.1,1,3,2,1,2,1
CSP,5,10,3,0.0003622530000484403,11,0,1,,10,1,1,1,2,2.6,0.1,1,6,1,1,1,0
CSP,5,10,4,0.0003320770000527773,11,0,1,,10,1,1,1,3,2.6,0.1,1,4,2,1,1,1
CSP,5,10,5,0.0003825210000059087,11,0,1,,10,1,1,1,2,2.6,0.1,1,3,2,1,2,1
CSP,5,10,6,0.00034188600000106817,11,0,1,,10,1,1,1,2,2.6,0.1,1,4,2,1,1,1
CSP,5,10,7,0.00033438200000546203,11,0,1,,10,1,1,1,3,2.6,0.1,1,3,2,1,2,1
CSP,5,10,8,0.0003740559999414472,11,0,1,,10,1,1,1,3,2.6,0.1,1,5,2,1,1,0
CSP,5,10,9,0.0003401519999215452,11,0,1,,10,1,1,1,3,2.6,0.1,1,6,2,1,0,0
CSP,5,10,10,0.00037608900004215684,11,0,1,,10,1,1,1,3,2.6,0.1,1,5,2,1,0,1
CSP,5,10,11,0.00036615099998016376,11,0,1,,10,1,1,1,3,2.6,0.1,1,4,2,1,1,1
CSP,5,10,12,0.00038447499991889345,11,0,1,,10,1,1,1,2,2.6,0.1,1,4,2,1,1,1
CSP,5,10,13,0.0003304049999997005,11,0,1,,10,1,1,1,3,2.6,0.1,1,4,2,1,2,0
CSP,5,10,14,0.0003730639999730556,11,0,1,,10,1,1,1,3,2.6,0.1,1,4,2,1,1,1
CSP,5,10,15,0.0003462539999645742,11,0,1,,10,1,1,1,3,2.6,0.1,1,5,1,1,2,0
CSP,5,10,16,0.00032713800010242267,11,0,1,,10,1,1,1,3,2.6,0.1,1,4,1,1,2,1
CSP,5,10,17,0.00032583600000180013,11,0,1,,10,1,1,1,3,2.6,0.1,1,4,2,1,1,1
CSP,5,10,18,0.0003466539999408269,11,0,1,,10,1,1,1,3,2.6,0.1,1,5,2,1,1,0
